Daily data of meteorological variables monitored at the IAG Meteorological Station in Sao Paulo (WMO station #83004), except for the variables pblh.m. and ustar.m.s., from the ERA5 reanalysis.
List of variables
data: yyyy-mm-dd
m: month
pblh.m.: planetary boundary layer height at 12:00 local time (m)
ustar.m.s.: friction velocity at 12:00 local time(m/s)
VelocVento: wind velocity, daily mean (m/s)
DirVento: wind direction, daily mean
Insolacao: number of hours of solar radiation (hours)
Irradiacao: global radiation, daily accumulation (W/m2)
Precipitacao: precipitation, daily accumulation (mm/day)
PressaoMED: atmospheric pressure near surface, daily mean (mbar)
TempMED: air temperature near surface, daily mean (degC)
TempMAX: air temperature near surface, daily maximum (degC)
UR: relative humidity, daily mean (%)
pwv: total column water vapour at 12:00 local time (kg m-2)  
data,m,pblh.m.,ustar.m.s.,VelocVento,DirVento,Insolacao,Irradiacao,Precipitacao,PressaoMED,TempMED,TempMAX,UR,pwv
2015-03-25,3,1201.96225541157,0.193901454833684,5.16666666666667,E,8.1,21.7482132089309,0,928.62474314069,20.9541666666667,27.1,77.7916666666667,21.0305632580086
2015-03-26,3,1430.0258537063,0.280330464301474,5.20833333333333,NNE,9.2,23.1160625931614,0,924.972018012863,22.825,30.5,72.2083333333333,21.2674456883744
2015-03-27,3,893.559610023118,0.0940259046461602,2.875,SE,8.4,22.8661137371614,0,926.910711673818,22.0291666666667,30.1,75.6666666666667,27.3409495610042
2015-03-28,3,830.078222530236,0.167019435953427,3.79166666666667,SE,5.4,18.466323658863,0,927.98153838128,22.0583333333333,28.1,77.2916666666667,37.4680102132091
2015-03-29,3,924.126812070438,0.196149919993113,3.125,E,0.4,8.00774512586776,13,925.753657820766,20.6291666666667,25.8,91.125,45.2724299762864
2015-03-30,3,701.58088147639,0.237045435752615,5.70833333333333,NW,1.1,10.7629951477503,0.6,923.751213080707,21.875,25.4,85.9583333333333,45.9176507634649
2015-03-31,3,1023.82847219968,0.385441370635122,7.33333333333333,WNW,9.8,21.6385326004696,0,924.190782155628,23.1916666666667,30.4,76.5,25.0795016961305
2015-04-01,4,1113.13796064727,0.153453972722186,4.375,SE,5.8,16.4119127846803,0,926.22940684845,21.6166666666667,27.4,77.6666666666667,28.6687227287739
2015-04-02,4,1101.32405863784,0.286309777554469,5.54166666666667,E,9.4,21.447662351902,1.2,927.564688730053,20.4458333333333,25.8,78.25,18.2216495000472
2015-04-03,4,1243.66634502652,0.116892214533194,6.08333333333333,E,8.3,19.670372170741,0,925.78247370251,19.7583333333333,25.8,81.9583333333333,18.0030480045999
