"y","m","d","Diadema","Ibirapuera","Maua","PDPedro","SAmaro","Pinheiros","Santana","Caetano","Itaquera","Ipen","Parelheiros","Senhora"
2005,4,20,77.75,99.7142857142857,111.375,129.625,100.5,52.875,NA,77.375,NA,NA,NA,NA
2005,4,21,66.875,76.5,71,129,86.875,59.25,NA,65.25,NA,NA,NA,NA
2005,4,22,62.375,88.125,59.625,137.125,90,73.625,NA,61.625,NA,NA,NA,NA
2005,4,23,71.625,78,67.875,115.875,98.625,58.375,NA,72.125,NA,NA,NA,NA
2005,4,24,81.625,100.875,58.25,124.25,115.375,75.25,NA,69.75,NA,NA,NA,NA
2005,4,25,38.2857142857143,40.625,49.75,79.1666666666667,62,23.1428571428571,NA,40,NA,NA,NA,NA
2005,4,26,33.8571428571429,29.75,39.75,NA,53.125,21.8571428571429,NA,32.2857142857143,NA,NA,NA,NA
2005,4,27,21.5,30.5,35,NA,48.7142857142857,18.125,NA,27.875,NA,NA,NA,10.5
2005,4,28,17.375,12.125,14.375,NA,35.25,6.85714285714286,NA,19.25,NA,NA,NA,NA
2005,4,29,31.25,49.5,45.75,NA,74.875,28.375,NA,35.375,NA,NA,NA,13.875
2005,4,30,37.625,41.125,42.625,NA,64.125,24.875,NA,35,NA,NA,NA,12.625
2005,5,1,32.75,40.25,37.75,NA,59,30.375,NA,37.25,NA,NA,NA,18.875
2005,5,2,27.5,36.5,39.125,45.3333333333333,NA,23,NA,35.75,NA,NA,NA,13
2005,5,3,30,44.875,36.75,41.5,NA,29.6666666666667,NA,34.875,NA,NA,NA,20.25
2005,5,4,36.75,63.25,38.875,NA,86.75,40,NA,40.625,NA,NA,NA,34.875
2005,5,5,49.875,79.375,56.375,NA,102.875,49.875,NA,47.125,NA,NA,NA,35
2005,5,6,42.875,63.2857142857143,63.25,NA,82.875,32.875,NA,48.75,NA,NA,NA,49.625
2005,5,7,69.5,86.125,87.875,NA,109,54.75,NA,73.125,NA,NA,NA,53.625
2005,5,8,66.75,85.5,64.375,NA,101.25,65.375,NA,63.125,NA,NA,NA,41.625
2005,5,9,26.4285714285714,35.125,32.25,NA,51.875,28.5714285714286,NA,31.5,NA,NA,NA,18.4285714285714
2005,5,10,24,33.125,35.625,NA,50.5,15.5,NA,28,NA,NA,NA,26.375
2005,5,11,44.5,66,66.125,NA,72,30.875,NA,59.625,NA,NA,NA,56.125
2005,5,12,50.5,67.25,60.125,NA,94.25,34.875,NA,55.5,NA,NA,NA,34
2005,5,13,43.375,61,58.125,NA,76.5,29.25,NA,42.5,NA,NA,NA,33.75
2005,5,14,47.875,59.75,66.5,NA,76.125,38.375,NA,49.125,NA,NA,NA,36.25
2005,5,15,58.125,73.875,77,NA,85.375,50.125,NA,59,NA,NA,NA,43.75
2005,5,16,40.625,64.125,60.5,NA,69,30.625,NA,50.875,NA,NA,NA,52.375
2005,5,17,23.25,40.75,42.75,NA,54.625,17.75,NA,37.625,NA,NA,NA,41.375
2005,5,18,46.75,82,87.5,NA,81,41.75,NA,63.5,NA,NA,NA,69.125
2005,5,19,46.1428571428571,63.75,64.875,NA,78.5,30.125,NA,53.25,NA,NA,NA,44.75
2005,5,20,51.625,92.625,87,NA,93.125,49,NA,57.25,NA,NA,NA,68.875
2005,5,21,35.875,39.125,46.875,NA,60.375,27,NA,44.125,NA,NA,NA,31.25
2005,5,22,30.1428571428571,34.75,40.4285714285714,NA,NA,21.875,NA,36,NA,NA,NA,9.875
2005,5,23,14.75,19.375,21.25,NA,NA,9.75,NA,19.2,NA,NA,NA,10.125
2005,5,24,12.7142857142857,6.125,5.375,NA,NA,5,NA,12.25,NA,NA,NA,11.375
2005,5,25,15.4285714285714,6.5,15.75,NA,NA,3.71428571428571,NA,16.375,NA,NA,NA,8.14285714285714
2005,5,26,30.75,57.625,43.375,NA,NA,49.875,NA,47.5,NA,NA,NA,23.875
2005,5,27,31,49.5,41.125,NA,NA,30.125,NA,43.125,NA,NA,NA,15.375
2005,5,28,41.5,65.625,47,NA,NA,46.75,NA,50.25,NA,NA,NA,30
2005,5,29,50.25,73.375,39.375,NA,NA,53.375,NA,53.25,NA,NA,NA,30.875
2005,5,30,34.25,49.25,36.125,NA,NA,30.625,NA,36.25,NA,NA,NA,NA
2005,5,31,27.125,36.25,35.375,NA,NA,22.625,NA,33.125,NA,NA,NA,NA
2005,6,1,26,36.5,37.125,NA,NA,20,NA,32,NA,NA,NA,NA
2005,6,2,29.25,39.625,40.375,NA,NA,23.625,NA,34.375,NA,NA,NA,NA
2005,6,3,41.625,60.375,47.125,NA,NA,33.625,NA,NA,NA,NA,NA,NA
2005,6,4,41.5,52.375,42.125,NA,NA,36.125,NA,NA,NA,NA,NA,NA
2005,6,5,38.625,50.125,48.875,NA,NA,36.125,NA,NA,NA,NA,NA,NA
2005,6,6,27.125,39.25,36.25,NA,NA,26.625,NA,NA,NA,NA,NA,NA
2005,6,7,29.25,48.25,38.75,NA,NA,23.125,NA,NA,NA,NA,NA,17.375
2005,6,8,36.5,43.375,41.25,NA,NA,23.125,NA,NA,NA,NA,NA,26.1428571428571
2005,6,9,27.625,53.5,44.375,NA,NA,25.5,NA,NA,NA,NA,NA,21.625
2005,6,10,43,59.3333333333333,48.2857142857143,NA,NA,33.125,NA,NA,NA,NA,NA,38
2005,6,11,39.875,NA,56.125,NA,NA,38.75,NA,NA,NA,NA,NA,42
2005,6,12,43.75,NA,56.5,NA,NA,46,NA,NA,NA,NA,NA,37.5
2005,6,13,33.75,73.5,NA,NA,NA,34.25,NA,NA,NA,NA,NA,38
2005,6,14,28.125,53.625,NA,NA,NA,22.125,NA,NA,NA,NA,NA,43.25
2005,6,15,38.25,76,NA,NA,NA,41,NA,NA,NA,NA,NA,32
2005,6,16,34.125,66.5,NA,NA,NA,33.875,NA,54.5,NA,NA,NA,42.625
2005,6,17,39.875,86.625,85.8,NA,NA,46.5,NA,54.5,NA,NA,NA,68.25
2005,6,18,34.375,57.75,50.375,NA,NA,36,NA,48,NA,NA,NA,46.5
2005,6,19,34.75,46.875,41.625,NA,NA,33.375,NA,42.5,NA,NA,NA,35.375
2005,6,20,27.1428571428571,34.375,35.7142857142857,NA,NA,19,NA,32.2857142857143,NA,NA,NA,13.875
2005,6,21,26.2857142857143,33.375,36.1428571428571,NA,NA,19,NA,31.1428571428571,NA,NA,NA,11.2857142857143
2005,6,22,15.5,32.25,29.375,NA,NA,18.1428571428571,NA,27.75,NA,NA,NA,9.71428571428571
2005,6,23,25,45.5,38.125,NA,NA,22.5,NA,34.875,NA,NA,NA,23
2005,6,24,40.75,67.5,74.875,NA,NA,35.1428571428571,NA,55,NA,NA,NA,14.25
2005,6,25,45.75,88.25,50.8571428571429,NA,NA,54.75,NA,50.375,NA,NA,NA,32.875
2005,6,26,48,77.625,70,NA,NA,56.75,NA,62.5,NA,NA,NA,48.4285714285714
2005,6,27,25.25,43.875,40.75,NA,NA,22.125,NA,30,NA,NA,NA,29.375
2005,6,28,10.375,4.375,8.875,NA,NA,1.25,NA,10.875,NA,NA,NA,2
2005,6,29,17.375,31.5,25.5,NA,NA,15.75,NA,19.375,NA,NA,NA,20.75
2005,6,30,23,44.5,43.25,NA,39.75,20.125,NA,35.375,NA,NA,NA,12.875
2005,7,1,23.25,63,34.75,NA,37.375,31.25,NA,38.5,NA,NA,NA,15.7142857142857
2005,7,2,34.5,66.875,55.75,NA,44.375,44.125,NA,52.875,NA,NA,NA,43.375
2005,7,3,37.375,62.75,56,NA,50.6666666666667,44.875,NA,51,NA,NA,NA,39.25
2005,7,4,28.625,57.5,48.125,NA,37,31.125,NA,45.125,NA,NA,NA,43.875
2005,7,5,21,35.75,31.5714285714286,NA,28.625,15.625,NA,34.4285714285714,NA,NA,NA,9.28571428571429
2005,7,6,28.2857142857143,44.5714285714286,44,NA,39,26.25,NA,40.5714285714286,NA,NA,NA,16.4285714285714
2005,7,7,26.7142857142857,49.5714285714286,43.2857142857143,NA,41.25,29.5,NA,39.2857142857143,NA,NA,NA,15.7142857142857
2005,7,8,19.4285714285714,45.8571428571429,38.4285714285714,NA,38.75,27.625,NA,29.7142857142857,NA,NA,NA,9.625
2005,7,9,22.75,47.125,35,NA,37.125,36.75,NA,37.875,NA,NA,NA,14.375
2005,7,10,24.5,49.75,32.375,NA,39.875,36.25,NA,39,NA,NA,NA,19.625
